CASE_ID,ACHA,AIU_CHILD,AIU_PARENT,CYF_KPL,CYF_PL_O,DA,DPW_FS,DPW_GA,DPW_SSI,DPW_TANF,EI,FSC,HACP,HH,IL_CHILD,JPO,JPO_CHILD,JPO_KPL,JPO_PL_O,MH,ID,nClose,Duration,place_Y
28892,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,3,0,F
28994,1,0,0,1,0,0,1,-1,-1,1,1,-1,0,-1,0,0,0,0,0,-1,0,2,92,T
29003,-1,0,0,0,-1,1,1,-1,0,-1,0,-1,0,1,1,0,0,0,0,1,0,3,184,F
29057,0,0,0,-1,0,-1,-1,0,1,-1,-1,0,0,-1,0,0,0,0,0,-1,0,3,92,F
29128,0,0,0,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,2,397,F
29164,0,0,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,-1,0,3,62,F
29206,0,0,0,0,0,1,1,0,-1,0,0,-1,0,-1,1,0,0,0,0,-1,0,6,184,F
29350,-1,0,0,0,-1,-1,1,0,-1,1,-1,0,0,-1,-1,1,-1,-1,0,-1,0,3,62,F
29521,1,0,0,0,-1,-1,1,0,1,1,-1,0,1,-1,0,0,0,0,0,1,0,2,245,F
29540,-1,0,0,-1,-1,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,1,0,4,306,F
29578,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,1,0,-1,0,0,-1,0,1,123,F
29589,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,-1,-1,-1,-1,0,2,92,F
29594,1,0,0,0,-1,-1,-1,0,-1,-1,0,-1,0,0,0,1,-1,0,0,-1,0,2,62,F
29646,-1,0,0,0,-1,-1,1,-1,1,-1,-1,0,1,0,0,0,1,0,0,1,0,2,337,F
29666,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,2,30,F
