"CASE_ID"	"close_dt"	"start_dt"	"duration"
"1"	28892	2016-01-01	2009-02-01	2525
"2"	28994	2017-01-01	2008-08-01	3075
"3"	29003	2017-04-01	2008-03-01	3318
"4"	29057	2016-06-01	2008-10-01	2800
"5"	29128	2017-04-01	2008-02-01	3347
"6"	29164	2017-04-01	2016-12-01	121
"7"	29206	2017-04-01	2009-02-01	2981
"8"	29350	2017-04-01	2000-09-01	6056
"9"	29521	2016-11-01	2005-06-01	4171
"10"	29540	2017-04-01	2010-08-01	2435
"11"	29578	2017-04-01	2005-10-01	4200
"12"	29589	2017-04-01	2016-02-01	425
"13"	29594	2017-04-01	2012-02-01	1886
"14"	29646	2017-04-01	2007-06-01	3592
"15"	29666	2016-10-01	2007-05-01	3441
"16"	29668	2017-04-01	2004-09-01	4595
"17"	29671	2017-04-01	1996-03-01	7701
"18"	29679	2016-12-01	2009-01-01	2891
"19"	29710	2016-11-01	2013-07-01	1219
"20"	29734	2017-04-01	2008-01-01	3378
"21"	29901	2017-02-01	2003-10-01	4872
"22"	29913	2017-01-01	2008-03-01	3228
"23"	29935	2017-01-01	1997-12-01	6971
"24"	29968	2017-04-01	2008-03-01	3318
"25"	29980	2016-09-01	2016-02-01	213
"26"	30096	2017-04-01	2008-06-01	3226
"27"	30100	2017-04-01	2008-04-01	3287
"28"	30102	2016-11-01	2016-06-01	153
"29"	30151	2017-04-01	2016-05-01	335
"30"	30163	2017-04-01	2016-03-01	396
"31"	30171	2017-04-01	2015-02-01	790
"32"	30249	2017-04-01	2007-12-01	3409
"33"	30290	2017-04-01	2009-01-01	3012
"34"	30342	2017-04-01	2008-03-01	3318
"35"	30346	2017-04-01	2007-07-01	3562
"36"	30368	2017-04-01	2014-08-01	974
"37"	30383	2017-04-01	2016-11-01	151
"38"	30442	2017-04-01	2007-04-01	3653
"39"	30444	2017-04-01	2008-04-01	3287
"40"	30452	2017-04-01	2014-04-01	1096
"41"	30495	2017-04-01	2008-07-01	3196
"42"	30516	2017-04-01	2000-12-01	5965
